text,option_a,option_b,option_c,option_d,correct_option,instructions,difficulty_level,question_type,score_obtainable
Entrepreneurship in our world today serves as ______ for economic growth and wealth creation ,An engine or catalyst ,Barrier or obstacle ,Constraints or limitation ,Secondary factor,A,Answer all Questions,easy,objective,1
 ___________ defined Entrepreneurship as the act of innovation and creative destruction ,Richard Cantillon ,David McClelland ,Peter Drucker ,Joseph Schumpeter ,D,Answer all Questions,easy,objective,1
" ___________ is widely recognized as a key driver of innovation, job creation, wealth creation and economic growth ",Government intervention ,Monetary policies ,Entrepreneurship ,Foreign aid,C,Answer all Questions,easy,objective,1
Creative Destruction by Joseph Schumpeter refers to the process through which:,"Innovation and new technologies disrupt and replace existing products, services and industries, driving economic progress ",Government regulate industries to maintain stability ,Large corporations dominate the market through merger and acquisitions ,Entrepreneurs focus solely on incremental improvements to existing products ,A,Answer all Questions,easy,objective,1
The main objective in business is __________,To provide value to customers ,To contribute to societal development ,To maximize profit ,To ensure employee satisfaction,C,Answer all Questions,easy,objective,1
There are _______ stages in the history of entrepreneurship ,6 Stages ,2 Stages,3 Stages,4 Stages,B,Answer all Questions,easy,objective,1
"In Nigeria, the history of entrepreneurship is commonly classified into which identifiable stages:",The early stage and the modern stage ,The pre-colonial stage and the post-colonial stage ,The traditional stage and the industrial stage ,The agrarian stage and the technological stage,A,Answer all Questions,easy,objective,1
The system of exchanging goods and services directly for other goods and services without the use of money is called:,Monetary exchange,Credit system,Barter trade ,Trade by barter,D,Answer all Questions,easy,objective,1
Some of the reasons why people venture into business include all except: ,People see business ownership as a means of generating profit ,They see it as an opportunity to do what they love doing,They wish to emulate the career of successful businessmen who have acquired leadership in business ,They want to avoid hard work and responsibility,D,Answer all Questions,easy,objective,1
The sources of capital for starting a new business include all except:,Personal savings ,Loans from financial institutions ,Contributions from family members and friends,Gambling and lottery winnings,D,Answer all Questions,easy,objective,1
Entrepreneurship plays a vital role in all the following except:,Generating employment opportunities ,Encouraging monopoly and market exploitation ,Driving innovation and technological advancement ,Promoting economic growth and development,B,Answer all Questions,easy,objective,1
The following are objectives of entrepreneurship education except: ,To offer functional education that will enable students to be self-employed ,To discourage risk-taking and innovation ,"To train students to recognize, create, apply creativity and innovation and be able to act on business opportunities",To help students acquire vocational skills ,B,Answer all Questions,easy,objective,1
The end user of a product provided by any firm is called:,Producer ,Distributor,Consumer,Wholesaler ,C,Answer all Questions,easy,objective,1
The word entrepreneur originated from _________ word called entreprendre,Greek, French ,German ,Latin,B,Answer all Questions,easy,objective,1
“Entreprendre” means:,To create ,To invest ,To undertake ,To manage ,C,Answer all Questions,easy,objective,1
The word entreprendre was first used by a French-Irish economist named: ,Richard Cantillon ,Adam Smith ,Jean-Baptist Say ,David Ricardo ,A,Answer all Questions,easy,objective,1
 ____________ fuels creativity ,Passion ,Financial capital ,Technology ,Raw materials ,A,Answer all Questions,easy,objective,1
"To a businessman, an entrepreneur is perceived as a _____________ to another entrepreneur ",Threat and an aggressive competitor ,Partner and collaborator ,Supporter ,Consumer and client,A,Answer all Questions,easy,objective,1
"A person who searches for change, responds to it, and exploits change as an opportunity is called:",Manager ,Entrepreneur ,Investor ,Consultant,B,Answer all Questions,easy,objective,1
How does competition benefit a product in the market:,Creates monopoly power,Improves quality ,Eliminates the need for customer feedback,Reduce product standard,B,Answer all Questions,easy,objective,1
"During the middle ages, the entrepreneur was seen as:",An actor ,trader ,A craftsman ,A landowner,A,Answer all Questions,easy,objective,1
"In 1934, Joseph Schumpeter described an entrepreneur as _________ who develops an untried technology  ",A creator ,A risk-taker ,A manager ,An innovator,D,Answer all Questions,easy,objective,1
"In 1961, David McClelland described an entrepreneur as:",Resource person ,Motivator ,Energetic moderate risk-taker,An actor,C,Answer all Questions,easy,objective,1
"In 1964, Peter Drucker stated that an entrepreneur is an individual who:",Maximizes opportunities ,Seeks to minimize risk,Innovates to create new products or services ,Operates business efficiently,A,Answer all Questions,easy,objective,1
Which of the following is NOT a big name in entrepreneurship: ,Abraham Maslow ,Richard Cantillon ,Joseph Schumpeter ,Peter Drucker,A,Answer all Questions,easy,objective,1
Competition can be best be defined as:,Cooperation between businesses to fix prices,The rivarly between businesses or individuals striving for the same customers or market,A monopoly where only one seller controls the market,Government control of all business activities,B,Answer all Questions,easy,objective,1
